GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute1Notes,Attribute2,Attribute2Notes,Attribute3,Attribute3Notes,Attribute4,Attribute4Notes,Attribute5,Attribute5Notes,Attribute6,Attribute6Notes,Attribute7,Attribute7Notes
Hydraulic properties,Soil_Water_Characteristic_Curve,"Relationship between soil water content and matric potential; also called water retention curve or isotherm, or water release curve; was it measured?",N/A,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Yes"",""No""]",,"Select|Suction method|[""direct"",""indirect""]",,"Select|Method|[""Indirect:filter paper"",""Indirect:vapor equilibrium"",""Indirect:dewpoint potentiameter"",""Direct:pressure plate"",""Direct:tensiometer"",""Direct:osmotic membrane/solution"",""Direct:centrifuge""]",,,,"Input|Method reference, if known",
Hydraulic properties,Wilting_Potential_WC,Water content at Wilting Point (water is unavailable to plants; water potential at -1500 kPa),% vol (cm3 H2O/cm3 soil*100),,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Measurement type|[""Field, above water table"",""Field, below water table"",""Laboratory""]",,,,Input|Soil depth (e.g. 0-30 cm) or horizon (e.g. O) measured,,,,"Input|Method reference, if known",
Texture,Clay,Percent of soil particles in clay fraction < 0.002 mm,% of <2 mm sieved soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Input|Specify all sample pretreatments (Na-hexametaphosphate dispersal solution, H2O2 to remove organic matter, others)",,"Select|Method|[""pipette"",""hydrometer"",""laser diffraction"",""other (specify)""]",,,,,,,
Texture,Sand,Percent of soil particles in sand fraction > 0.05 mm,% of <2 mm sieved soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Input|Specify all sample pretreatments (Na-hexametaphosphate dispersal solution, H2O2 to remove organic matter, others)",,"Select|Method|[""pipette"",""hydrometer"",""laser diffraction"",""other (specify)""]",,,,,,,
Texture,Silt,Percent of soil particles in silt fraction < 0.05 and > 0.002 mm,% of <2 mm sieved soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Input|Specify all sample pretreatments (Na-hexametaphosphate dispersal solution, H2O2 to remove organic matter, others)",,"Select|Method|[""pipette"",""hydrometer"",""laser diffraction"",""other (specify)""]",,,,,,,
Texture,Coarse fragment,Gravel fraction > 2 mm,% of whole soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,,
Mineralogy,Mineral_identification,Identification of clay-sized minerals,-,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Yes"",""No""]",,"Select|Method|[""X-ray diffraction"",""differential thermal analyses"",""other""]",,,,,,"Input|Method reference, if known",
Mineralogy,Specific_surface_area,Surface area of soil particles,m2/g,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Methods|[""Adsorption of ethylene glycol monoethyl ether"",""Soil moisture release curve"",""Other""]",,,,,,,,"Input|Method reference, if known",
Aggregation,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Rotary sieve"",""Sieve shaker"",""Other""]",,"Select|Size class|["">8000 um"","">4000 um"",""4000-8000 um"","">2000 um"",""2000-4000 um"",""1000-2000 um"",""500-1000 um"",""150-500 um"",""250-500 um"",""53-250 um"",""<250 um"",""<53 um"",""84-250 um"",""<84 um""]",,,,,,"Input|Method reference, if known",
Aggregation,Water_Stable_Aggregation,Abundance of water-stable soil aggregates by size class (wet sieve),g/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Size classes|["">2000 um"",""250-2000 um"",""250-500 um"",""500-1000 um"",""1000-2000 um""]",,"Select|Method|[""Yoder apparatus"",""Cornell rainfall simulator"",""Slake App test"",""other""]",,,,,,"Input|Method reference, if known",
Bulk Density,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Core"",""Clod"",""Compliant cavity""]",,"Select|Corrected for gravel content?|[""Yes"",""No""]",,,,,,"Input|Method reference, if known",
