GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute1Notes,Attribute2,Attribute2Notes,Attribute3,Attribute3Notes,Attribute4,Attribute4Notes,Attribute5,Attribute5Notes,Attribute6,Attribute6Notes,Attribute7,Attribute7Notes
Nitrogen,Nitrite_NO2_dissolved,Dissolved nitrite in naturally-occuring soil water,g N/L,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Sample type|[""Porewater"",""Tile drainage"",""Leachate""]",,,,,,,
Nitrogen,POM_N,Particulate organic matter nitrogen,mg N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Density fractionation"",""Other""]",,"Select|Fraction measured|[""Total POM"",""Free light fraction"",""Fine intraggregate POM"",""Coarse intraggregate POM""]",,,,,,"Input|Method reference, if known",
Nitrogen,Total_Kjeldahl_N,Organic nitrogen plus ammonium determined by Kjeldalh method,mg N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Kjeldahl digestion and extraction""]",,,,,,,,,
Nitrogen,Total_N_extractable,Total nitrogen in soil extract,g N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extractant|[""Water"",""1M KCl"",""2M KCl"",""0.01M CaCl2"",""H3A"",""Sodium acetate"",""Other""]",,,,,,,,"Input|Method reference, if known",
Nitrogen,Total_N_dissolved,Dissolved total nitrogen in naturally-occuring soil water,g N/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Sample type|[""Porewater"",""Tile drainage"",""Leachate""]",,,,,,,
Nitrogen,Total_Soil_N,Total soil nitrogen,g N/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Dry combustion"",""Wet combustion"",""Other""]",,,,,,,,"Input|Method reference, if known",
Phosphorus,Total_P_extractable,Total phosphorus in soil extract,mg P/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Extract type|[""H2O"",""0.01M CaCl2"",""H3A"",""Olsen"",""Bray-1"",""Bray-2"",""Mehlich-1"",""Mehlich-3"",""Modified Morgan""]",,"Select|Digestion method|[""acid persulfate"",""alkaline persulfate"",""none (ICP analysis)"",""other""]",,,,,
Phosphorus,Total_P_dissolved,Dissolved total phosphorus in naturally-occuring soil water,mg P/L,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Sample type|[""Porewater"",""Tile drainage"",""Leachate""]",,"Select|Digestion method|[""acid persulfate"",""alkaline persulfate"",""none (ICP analysis)"",""other""]",,,,,
Phosphorus,PO4_extractable,Phosphate in soil extract,mg P/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Extract type|[""H2O"",""0.01M CaCl2"",""H3A"",""Olsen"",""Bray-1"",""Bray-2"",""Mehlich-1"",""Mehlich-3"",""Modified Morgan""]",,,,,,,
Phosphorus,PO4_dissolved,Dissolved phosphate in naturally-occuring soil water,mg P/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 um"",""Other (specify)""]",,"Select|Sample type|[""Porewater"",""Tile drainage"",""Leachate""]",,,,,,,
Phosphorus,Total_Soil_P,Total soil phosphorus,mg P/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Digestion method|[""Perchloric acid"",""Sodium carbonate fusion"",""Other""]",,,,,,,,,
Sulfur,S_extractable,Extractable soil sulfur,mg S/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""H2O"",""0.01M CaCl2"",""H3A"",""Olsen"",""Bray-1"",""Bray-2"",""Mehlich-1"",""Mehlich-3"",""Mono-calcium phosphate""]",,,,,,,,,
Sulfur,SO4_extractable,Extractable soil sulfate,mg S/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""H2O"",""0.01M CaCl2"",""H3A"",""Olsen"",""Bray-1"",""Bray-2"",""Mehlich-1"",""Mehlich-3"",""Mono-calcium phosphate""]",,,,,,,,,
Sulfur,Total_Soil_S,Total soil sulfur,mg S/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Dry combustion"",""Alkaline oxidation-acid reduction"",""Other""]",,,,,,,,,
Cations,Al_extractable,Soil concentration of extractable Aluminum,mg Al/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,"Input|Method reference, if known",
Trace Metals,B_extractable,Soil concentration of extractable Boron,mg B/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Ba_extractable,Soil concentration of extractable Barium,mg Ba/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Be_extractable,Soil concentration of extractable Beryllium,mg Be/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Cations,Ca_extractable,Soil concentration of extractable Calcium,mg Ca/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,"Input|Method reference, if known",
Trace Metals,Cd_extractable,Soil concentration of extractable Cadmium,mg Cd/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Co_extractable,Soil concentration of extractable Cobalt,mg Co/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Cr_extractable,Soil concentration of extractable Chromium,mg Cr/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Cu_extractable,Soil concentration of extractable Copper,mg Cu/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Cations,Fe_extractable,Soil concentration of extractable Iron,mg Fe/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,"Input|Method reference, if known",
Cations,K_extractable,Soil concentration of extractable Potassium,mg K/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,"Input|Method reference, if known",
Trace Metals,Li_extractable,Soil concentration of extractable Lithium,mg Li/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Cations,Mg_extractable,Soil concentration of extractable Magnesium,mg Mg/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,"Input|Method reference, if known",
Cations,Mn_extractable,Soil concentration of extractable Manganese,mg Mn/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,"Input|Method reference, if known",
Trace Metals,Mo_extractable,Soil concentration of extractable Molybdenum,mg Mo/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Cations,Na_extractable,Soil concentration of extractable Sodium,mg Na/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,"Input|Method reference, if known",
Trace Metals,Ni_extractable,Soil concentration of extractable Nickel,mg Ni/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Pb_extractable,Soil concentration of extractable Lead,mg Pb/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Rb_extractable,Soil concentration of extractable Rubidium,mg Rb/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Se_extractable,Soil concentration of extractable Selenium,mg Se/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Si_extractable,Soil concentration of extractable Silicon,mg Si/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
Trace Metals,Sr_extractable,Soil concentration of extractable Strontium,mg Sr/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other""]",,,,,,,,,
